"Metrics: Sample Count","Periodic Samples: Periodic Samples","Metrics: Discarded metrics","Metrics: Strobe samples","Metrics: Nested calls count","Basic: Instructions Per Cycle","Basic: Retiring","Basic: Bad Speculation","Frontend: Frontend Bound","Frontend: Frontend Stalled Cycles","Backend: Backend Bound","Backend: Backend Stalled Cycles","Branch: Branch MPKI","Branch: Branch Misprediction Percentage","L2 Cache: L2 Cache MPKI","L2 Cache: L2 Cache Miss Percentage","L2 Cache: L2D Cache MPKI","L2 Cache: L2D Cache Miss Percentage","L3 Cache: L3 Cache MPKI","Last Level Cache: LL Cache Read MPKI","Instructions: Load Operations Percentage","Instructions: Store Operations Percentage","Instructions: Advanced SIMD Operations Percentage","Instructions: Floating Point Operations Percentage","Instructions: Integer Operations Percentage","Percentage of Total: Branch Predictor: Mispredictions","Percentage of Total: Cycles: CPU Cycles","Percentage of Total: Instructions (Executed): All","Percentage of Total: Instructions (Executed): Branch (Any)","Percentage of Total: Instructions (Executed): Branch (Mispredicted)","Percentage of Total: Instructions (Speculated): All","Percentage of Total: Instructions (Speculated): Branch (return)","Percentage of Total: Instructions (Speculated): Data Processing (Advanced SIMD)","Percentage of Total: Instructions (Speculated): Data Processing (Floating-point)","Percentage of Total: Instructions (Speculated): Data Processing (Integer)","Percentage of Total: Instructions (Speculated): Load","Percentage of Total: Instructions (Speculated): Store","Percentage of Total: L2 Data Cache: Access","Percentage of Total: L2 Data Cache: Refill","Percentage of Total: L3 Data Cache: Refill","Percentage of Total: Last Level Cache: Miss (due to read)","Percentage of Total: Operations: Executed","Percentage of Total: Operations: Speculated","Percentage of Total: Stalls: Backend","Percentage of Total: Stalls: Frontend","Percentage of Total: Stalls (Slots): All","Percentage of Total: Stalls (Slots): Backend","Percentage of Total: Stalls (Slots): Frontend","Metrics: Percentage of Total Samples","uid","image","symbol","inlined from"
5780,96,6,4,9,2.12586,26.2882,1.14063,25.7883,6.52889,46.7961,40.4194,0.107327,0.480341,,,,,,4.93233,9.96262,2.13512,21.388,59.6081,4.59369,20.9363,45.5345,39.4951,33.3583,12.1212,31.2082,5.71429,58.8487,100,8.0074,19.669,33.3108,0,0,0,33.1122,48.3672,45.7859,58.9185,44.346,61.4336,88.035,64.1328,39.6406,200,"d2q9-bgk","collision",
3478,35,6,0,1,2.98373,37.2509,2.98774,,3.93475,,33.2334,0.252628,0.453437,0.129072,0.364814,0.129072,0.364814,6.75915,6.57197,16.2397,0,,,,19.3758,28.2142,31.2937,30.2079,10.3617,50.119,5.71429,0,0,0,55.1668,0,24.1472,17.5,26.7222,46.4109,19.9644,19.4843,12.8027,7.06312,14.7919,0,0,23.853,201,"d2q9-bgk","av_velocity",
3131,27,8,2,0,2.87168,35.0034,7.94634,,4.63864,,31.4605,0.195154,0.778032,0.4291,0.547601,0.4291,0.547601,13.0708,12.6598,22.3786,7.48463,14.9289,0,52.6786,25.3576,22.1136,26.7812,11.2939,6.64712,18.5139,0,41.1513,0,91.9926,24.921,65.8657,75.8384,82.5,73.2778,20.477,27.3647,30.3727,10.3899,7.13821,20.5917,0,0,21.4731,202,"d2q9-bgk","propagate",
474,3,314,0,157,,,,88.4589,,3.19635,,,,,,,,,,,,,,,1.30039,0.0254695,0,0,0,0,8.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412505,8.21425,3.25081,213,"libc.so.6","__printf_fp_l",
150,1,149,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02874,214,"libc.so.6","hack_digit",
148,9,9,0,0,2.90406,36.2633,6.02243,,,,,,,,,,,,,,,,,,27.4382,0.993985,1.31557,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18842,4.23821,0,0,3.168,0,0,1.01502,142,"d2q9-bgk","main",
146,0,1,0,0,,,,,7.44276,,79.3237,2.57506,1.97221,,,,,,,,,,,,0,1.32069,0.362268,5.76583,8.60215,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0964,5.28858,0,0,0,1.0013,144,"d2q9-bgk","initialise",
134,0,87,0,37,,,,27.7394,26.6019,60.464,59.3952,19.2308,10.989,,,,,,,,,,,,2.47074,0.11174,0.00551236,0.117591,0.977517,0,17.1429,0,0,0,0,0,0,0,0,0,0,0,0.44314,0.924814,0,8.13587,4.87672,0.919004,31,"ld-linux-aarch64.so.1","do_lookup_x",
106,0,105,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726973,183,"libc.so.6","__mpn_mul_1",
80,0,54,0,4,,,,,20.3662,,58.3204,2.32558,1.51099,,,,,,,,,,,,0,0.25537,0.100282,1.88145,2.15054,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71965,2.79822,0,0,0,0.548659,95,"ld-linux-aarch64.so.1","_dl_relocate_object",
